#curie_map:
#  icd10: https://icd.who.int/browse10/2019/en#/
#  mesh: https://meshb.nlm.nih.gov/record/ui?ui=
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
#mapping_set_id: leonmap_icd10_mesh_full_novel
#mapping_tool: leonmap
subject_id	subject_label	predicate_id	object_id	object_label	confidence	mapping_justification	mapping_tool	comment
icd10:I34.0	Mitral (valve) insufficiency	skos:exactMatch	mesh:D008944	Mitral Valve Insufficiency	1.0	semapv:LexicalMatching	leonmap	cosine=0.767131
icd10:D43.3	Cranial nerves	skos:exactMatch	mesh:D003391	Cranial Nerves	1.0	semapv:LexicalMatching	leonmap	cosine=0.765150
icd10:T36.3	Macrolides	skos:exactMatch	mesh:D018942	Macrolides	1.0	semapv:LexicalMatching	leonmap	cosine=0.759261
icd10:Q04.5	Megalencephaly	skos:exactMatch	mesh:D058627	Megalencephaly	1.0	semapv:LexicalMatching	leonmap	cosine=0.759210
icd10:T38.4	Oral contraceptives	skos:exactMatch	mesh:D003276	Contraceptives, Oral	1.0	semapv:LexicalMatching	leonmap	cosine=0.757556
icd10:I35.0	Aortic (valve) stenosis	skos:exactMatch	mesh:D001024	Aortic Valve Stenosis	1.0	semapv:LexicalMatching	leonmap	cosine=0.755658
icd10:C18.1	Appendix	skos:exactMatch	mesh:D001065	Appendix	1.0	semapv:LexicalMatching	leonmap	cosine=0.755210
icd10:T36.5	Aminoglycosides	skos:exactMatch	mesh:D000617	Aminoglycosides	1.0	semapv:LexicalMatching	leonmap	cosine=0.754673
icd10:D00.2	Stomach	skos:exactMatch	mesh:D013270	Stomach	1.0	semapv:LexicalMatching	leonmap	cosine=0.750263
icd10:G91.2	Normal-pressure hydrocephalus	skos:exactMatch	mesh:D006850	Hydrocephalus, Normal Pressure	1.0	semapv:LexicalMatching	leonmap	cosine=0.748322
icd10:C69.3	Choroid	skos:exactMatch	mesh:D002829	Choroid	1.0	semapv:LexicalMatching	leonmap	cosine=0.747955
icd10:T46.4	Angiotensin-converting-enzyme inhibitors	skos:exactMatch	mesh:D000806	Angiotensin-Converting Enzyme Inhibitors	1.0	semapv:LexicalMatching	leonmap	cosine=0.747248
icd10:C69.2	Retina	skos:exactMatch	mesh:D012160	Retina	1.0	semapv:LexicalMatching	leonmap	cosine=0.736914
icd10:T47.7	Emetics	skos:exactMatch	mesh:D004639	Emetics	1.0	semapv:LexicalMatching	leonmap	cosine=0.733916
icd10:D29.0	Penis	skos:exactMatch	mesh:D010413	Penis	1.0	semapv:LexicalMatching	leonmap	cosine=0.725949
icd10:A83.3	St Louis encephalitis	skos:exactMatch	mesh:D004674	Encephalitis, St. Louis	1.0	semapv:LexicalMatching	leonmap	cosine=0.724183
icd10:A52.0	Cardiovascular syphilis	skos:exactMatch	mesh:D013589	Syphilis, Cardiovascular	1.0	semapv:LexicalMatching	leonmap	cosine=0.722821
icd10:C18.2	Ascending colon	skos:exactMatch	mesh:D044682	Colon, Ascending	1.0	semapv:LexicalMatching	leonmap	cosine=0.705186
icd10:C68.0	Urethra	skos:exactMatch	mesh:D014521	Urethra	1.0	semapv:LexicalMatching	leonmap	cosine=0.700318
icd10:Q80.1	X-linked ichthyosis	skos:exactMatch	mesh:D016114	Ichthyosis, X-Linked	1.0	semapv:LexicalMatching	leonmap	cosine=0.699631
icd10:D02.0	Larynx	skos:exactMatch	mesh:D007830	Larynx	1.0	semapv:LexicalMatching	leonmap	cosine=0.698265
icd10:L40.4	Guttate psoriasis	skos:exactMatch	mesh:D000098650	Guttate Psoriasis	1.0	semapv:LexicalMatching	leonmap	cosine=0.694069
icd10:E71.0	Maple-syrup-urine disease	skos:exactMatch	mesh:D008375	Maple Syrup Urine Disease	1.0	semapv:LexicalMatching	leonmap	cosine=0.689824
icd10:D07.5	Prostate	skos:exactMatch	mesh:D011467	Prostate	1.0	semapv:LexicalMatching	leonmap	cosine=0.687608
icd10:C72.0	Spinal cord	skos:exactMatch	mesh:D013116	Spinal Cord	1.0	semapv:LexicalMatching	leonmap	cosine=0.639881
icd10:T48.4	Expectorants	skos:exactMatch	mesh:D005100	Expectorants	1.0	semapv:LexicalMatching	leonmap	cosine=0.633680
icd10:Y54.2	Carbonic-anhydrase inhibitors	skos:exactMatch	mesh:D002257	Carbonic Anhydrase Inhibitors	1.0	semapv:LexicalMatching	leonmap	cosine=0.624763
icd10:C75.1	Pituitary gland	skos:exactMatch	mesh:D010902	Pituitary Gland	1.0	semapv:LexicalMatching	leonmap	cosine=0.606218
icd10:C86.2	Enteropathy-type (intestinal) T-cell lymphoma	skos:closeMatch	mesh:D058527	Enteropathy-Associated T-Cell Lymphoma	1.0	semapv:LexicalMatching	leonmap	cosine=0.944664
icd10:F00.0	Dementia in Alzheimer disease with early onset	skos:closeMatch	mesh:C536595	Alzheimer disease type 2	1.0	semapv:LexicalMatching	leonmap	cosine=0.940377
icd10:M61.1	Myositis ossificans progressiva	skos:closeMatch	mesh:D009221	Myositis Ossificans	1.0	semapv:LexicalMatching	leonmap	cosine=0.939181
icd10:Y58.4	Tetanus vaccine	skos:closeMatch	mesh:D013745	Tetanus Toxoid	1.0	semapv:LexicalMatching	leonmap	cosine=0.937877
icd10:F00.1	Dementia in Alzheimer disease with late onset	skos:closeMatch	mesh:C536594	Alzheimer disease type 1	1.0	semapv:LexicalMatching	leonmap	cosine=0.932081
icd10:F63.0	Pathological gambling	skos:closeMatch	mesh:D005715	Gambling	1.0	semapv:LexicalMatching	leonmap	cosine=0.930020
icd10:J00	Acute nasopharyngitis [common cold]	skos:closeMatch	mesh:D003139	Common Cold	1.0	semapv:LexicalMatching	leonmap	cosine=0.927153
icd10:E25.0	Congenital adrenogenital disorders associated with enzyme deficiency	skos:closeMatch	mesh:D000312	Adrenal Hyperplasia, Congenital	1.0	semapv:LexicalMatching	leonmap	cosine=0.918892
icd10:Y43.3	Other antineoplastic drugs	skos:closeMatch	mesh:D000903	Antibiotics, Antineoplastic	1.0	semapv:LexicalMatching	leonmap	cosine=0.913029
icd10:C86.6	Primary cutaneous CD30-positive T-cell proliferations	skos:closeMatch	mesh:D054446	Lymphoma, Primary Cutaneous Anaplastic Large Cell	1.0	semapv:LexicalMatching	leonmap	cosine=0.911095
icd10:A25.1	Streptobacillosis	skos:closeMatch	mesh:D011906	Rat-Bite Fever	1.0	semapv:LexicalMatching	leonmap	cosine=0.909332
icd10:E72.1	Disorders of sulfur-bearing amino-acid metabolism	skos:closeMatch	mesh:C538141	Sulfite oxidase deficiency	1.0	semapv:LexicalMatching	leonmap	cosine=0.905721
icd10:B81.1	Intestinal capillariasis	skos:closeMatch	mesh:D017189	Enoplida Infections	1.0	semapv:LexicalMatching	leonmap	cosine=0.904893
icd10:T70.2	Other and unspecified effects of high altitude	skos:closeMatch	mesh:D000532	Altitude Sickness	1.0	semapv:LexicalMatching	leonmap	cosine=0.903448
icd10:G24.1	Idiopathic familial dystonia	skos:closeMatch	mesh:D020821	Dystonic Disorders	1.0	semapv:LexicalMatching	leonmap	cosine=0.902624
icd10:K12.0	Recurrent oral aphthae	skos:closeMatch	mesh:C538145	Sutton disease 2	1.0	semapv:LexicalMatching	leonmap	cosine=0.900466
icd10:L93.1	Subacute cutaneous lupus erythematosus	skos:closeMatch	mesh:D008178	Lupus Erythematosus, Cutaneous	1.0	semapv:LexicalMatching	leonmap	cosine=0.894866
icd10:C41.2	Vertebral column	skos:closeMatch	mesh:D013131	Spine	1.0	semapv:LexicalMatching	leonmap	cosine=0.889556
icd10:P94.0	Transient neonatal myasthenia gravis	skos:closeMatch	mesh:D020941	Myasthenia Gravis, Neonatal	1.0	semapv:LexicalMatching	leonmap	cosine=0.886895
icd10:K74.3	Primary biliary cirrhosis	skos:closeMatch	mesh:D008105	Liver Cirrhosis, Biliary	1.0	semapv:LexicalMatching	leonmap	cosine=0.881586
icd10:M94.2	Chondromalacia	skos:closeMatch	mesh:D002357	Cartilage Diseases	1.0	semapv:LexicalMatching	leonmap	cosine=0.879357
icd10:A68.0	Louse-borne relapsing fever	skos:closeMatch	mesh:D012061	Relapsing Fever	1.0	semapv:LexicalMatching	leonmap	cosine=0.875789
icd10:D51.9	Vitamin B	skos:closeMatch	mesh:D014803	Vitamin B Complex	1.0	semapv:LexicalMatching	leonmap	cosine=0.872913
icd10:Q81.1	Epidermolysis bullosa letalis	skos:closeMatch	mesh:D016109	Epidermolysis Bullosa, Junctional	1.0	semapv:LexicalMatching	leonmap	cosine=0.871253
icd10:H34.1	Central retinal artery occlusion	skos:closeMatch	mesh:D015356	Retinal Artery Occlusion	1.0	semapv:LexicalMatching	leonmap	cosine=0.865707
icd10:H04.0	Dacryoadenitis	skos:closeMatch	mesh:D003607	Dacryocystitis	1.0	semapv:LexicalMatching	leonmap	cosine=0.864952
icd10:C86.0	Extranodal NK/T-cell lymphoma, nasal type	skos:closeMatch	mesh:D054391	Lymphoma, Extranodal NK-T-Cell	1.0	semapv:LexicalMatching	leonmap	cosine=0.864009
icd10:L64	Androgenic alopecia	skos:closeMatch	mesh:D000505	Alopecia	1.0	semapv:LexicalMatching	leonmap	cosine=0.862895
icd10:L28.0	Lichen simplex chronicus	skos:closeMatch	mesh:D009450	Neurodermatitis	1.0	semapv:LexicalMatching	leonmap	cosine=0.862509
icd10:L41.0	Pityriasis lichenoides et varioliformis acuta	skos:closeMatch	mesh:D017514	Pityriasis Lichenoides	1.0	semapv:LexicalMatching	leonmap	cosine=0.862236
icd10:J43.1	Panlobular emphysema	skos:closeMatch	mesh:D011656	Pulmonary Emphysema	1.0	semapv:LexicalMatching	leonmap	cosine=0.860902
icd10:B45.1	Cerebral cryptococcosis	skos:closeMatch	mesh:D016919	Meningitis, Cryptococcal	1.0	semapv:LexicalMatching	leonmap	cosine=0.859328
icd10:F51.5	Nightmares	skos:closeMatch	mesh:D004325	Dreams	1.0	semapv:LexicalMatching	leonmap	cosine=0.857512
icd10:F44.0	Dissociative amnesia	skos:closeMatch	mesh:D000647	Amnesia	1.0	semapv:LexicalMatching	leonmap	cosine=0.853577
icd10:Q79.2	Exomphalos	skos:closeMatch	mesh:D000099245	Omphalocele	1.0	semapv:LexicalMatching	leonmap	cosine=0.849862
icd10:F30	Manic episode	skos:closeMatch	mesh:D000087122	Mania	1.0	semapv:LexicalMatching	leonmap	cosine=0.844940
icd10:G90.5	Complex regional pain syndrome type I	skos:closeMatch	mesh:D012019	Reflex Sympathetic Dystrophy	1.0	semapv:LexicalMatching	leonmap	cosine=0.842292
icd10:J95.4	Mendelson syndrome	skos:closeMatch	mesh:D011015	Pneumonia, Aspiration	1.0	semapv:LexicalMatching	leonmap	cosine=0.839754
icd10:N32.0	Bladder-neck obstruction	skos:closeMatch	mesh:D001748	Urinary Bladder Neck Obstruction	1.0	semapv:LexicalMatching	leonmap	cosine=0.837918
icd10:M85.5	Aneurysmal bone cyst	skos:closeMatch	mesh:D017824	Bone Cysts, Aneurysmal	1.0	semapv:LexicalMatching	leonmap	cosine=0.837007
icd10:N17	Acute renal failure	skos:closeMatch	mesh:D058186	Acute Kidney Injury	1.0	semapv:LexicalMatching	leonmap	cosine=0.835865
icd10:T38.2	Antithyroid drugs	skos:closeMatch	mesh:D013956	Antithyroid Agents	1.0	semapv:LexicalMatching	leonmap	cosine=0.835784
icd10:B66.5	Fasciolopsiasis	skos:closeMatch	mesh:D014201	Trematode Infections	1.0	semapv:LexicalMatching	leonmap	cosine=0.833298
icd10:Q60.1	Renal agenesis, bilateral	skos:closeMatch	mesh:C536482	Hereditary renal agenesis	1.0	semapv:LexicalMatching	leonmap	cosine=0.832917
icd10:N18	Chronic kidney disease	skos:closeMatch	mesh:D051436	Renal Insufficiency, Chronic	1.0	semapv:LexicalMatching	leonmap	cosine=0.829760
icd10:F50	Eating disorders	skos:closeMatch	mesh:D001068	Feeding and Eating Disorders	1.0	semapv:LexicalMatching	leonmap	cosine=0.826884
icd10:Y57.1	Lipotropic drugs	skos:closeMatch	mesh:D008082	Lipotropic Agents	1.0	semapv:LexicalMatching	leonmap	cosine=0.821298
icd10:T74.2	Sexual abuse	skos:closeMatch	mesh:D012742	Sex Offenses	1.0	semapv:LexicalMatching	leonmap	cosine=0.819923
icd10:G43.3	Complicated migraine	skos:closeMatch	mesh:D020325	Migraine with Aura	1.0	semapv:LexicalMatching	leonmap	cosine=0.818925
icd10:D35.0	Adrenal gland	skos:closeMatch	mesh:D000311	Adrenal Glands	1.0	semapv:LexicalMatching	leonmap	cosine=0.818346
icd10:F25	Schizoaffective disorders	skos:closeMatch	mesh:D011618	Psychotic Disorders	1.0	semapv:LexicalMatching	leonmap	cosine=0.818000
icd10:R82.4	Acetonuria	skos:closeMatch	mesh:D007662	Ketosis	1.0	semapv:LexicalMatching	leonmap	cosine=0.814354
icd10:Z59.0	Homelessness	skos:closeMatch	mesh:D006703	Ill-Housed Persons	1.0	semapv:LexicalMatching	leonmap	cosine=0.810356
icd10:U04	Severe acute respiratory syndrome [SARS]	skos:closeMatch	mesh:D045169	Severe Acute Respiratory Syndrome	1.0	semapv:LexicalMatching	leonmap	cosine=0.808909
icd10:T48.3	Antitussives	skos:closeMatch	mesh:D000996	Antitussive Agents	1.0	semapv:LexicalMatching	leonmap	cosine=0.807995
icd10:G92	Toxic encephalopathy	skos:closeMatch	mesh:D020258	Neurotoxicity Syndromes	1.0	semapv:LexicalMatching	leonmap	cosine=0.805754
icd10:N83.1	Corpus luteum cyst	skos:closeMatch	mesh:D010048	Ovarian Cysts	1.0	semapv:LexicalMatching	leonmap	cosine=0.805263
icd10:M33.0	Juvenile dermatomyositis	skos:closeMatch	mesh:D003882	Dermatomyositis	1.0	semapv:LexicalMatching	leonmap	cosine=0.804698
icd10:Y45.2	Propionic acid derivatives	skos:closeMatch	mesh:D011422	Propionates	1.0	semapv:LexicalMatching	leonmap	cosine=0.803859
icd10:D57	Sickle-cell disorders	skos:closeMatch	mesh:D000755	Anemia, Sickle Cell	1.0	semapv:LexicalMatching	leonmap	cosine=0.803369
icd10:P91.2	Neonatal cerebral leukomalacia	skos:closeMatch	mesh:D007969	Leukomalacia, Periventricular	1.0	semapv:LexicalMatching	leonmap	cosine=0.802585
icd10:C50-C50	Malignant neoplasm of breast	skos:closeMatch	mesh:D001943	Breast Neoplasms	1.0	semapv:LexicalMatching	leonmap	cosine=0.801142
icd10:J80	Adult respiratory distress syndrome	skos:closeMatch	mesh:D012128	Respiratory Distress Syndrome	1.0	semapv:LexicalMatching	leonmap	cosine=0.801092
icd10:C75.0	Parathyroid gland	skos:closeMatch	mesh:D010280	Parathyroid Glands	1.0	semapv:LexicalMatching	leonmap	cosine=0.801002
icd10:C25.4	Endocrine pancreas	skos:closeMatch	mesh:D007515	Islets of Langerhans	1.0	semapv:LexicalMatching	leonmap	cosine=0.798017
icd10:A43.0	Pulmonary nocardiosis	skos:closeMatch	mesh:D009617	Nocardia Infections	1.0	semapv:LexicalMatching	leonmap	cosine=0.797464
icd10:L94.1	Linear scleroderma	skos:closeMatch	mesh:D012594	Scleroderma, Localized	1.0	semapv:LexicalMatching	leonmap	cosine=0.796698
icd10:Q31.1	Congenital subglottic stenosis	skos:closeMatch	mesh:D007829	Laryngostenosis	1.0	semapv:LexicalMatching	leonmap	cosine=0.796620
icd10:R43.2	Parageusia	skos:closeMatch	mesh:D004408	Dysgeusia	1.0	semapv:LexicalMatching	leonmap	cosine=0.796390
icd10:Z49.1	Extracorporeal dialysis	skos:closeMatch	mesh:D006435	Renal Dialysis	1.0	semapv:LexicalMatching	leonmap	cosine=0.794694
icd10:N17-N19	Renal failure	skos:closeMatch	mesh:D051437	Renal Insufficiency	1.0	semapv:LexicalMatching	leonmap	cosine=0.794029
icd10:K85	Acute pancreatitis	skos:closeMatch	mesh:D010195	Pancreatitis	1.0	semapv:LexicalMatching	leonmap	cosine=0.793400
icd10:D30.1	Renal pelvis	skos:closeMatch	mesh:D007682	Kidney Pelvis	1.0	semapv:LexicalMatching	leonmap	cosine=0.784660
icd10:N25.0	Renal osteodystrophy	skos:closeMatch	mesh:D012080	Chronic Kidney Disease-Mineral and Bone Disorder	1.0	semapv:LexicalMatching	leonmap	cosine=0.784125
icd10:H40.1	Primary open-angle glaucoma	skos:closeMatch	mesh:D005902	Glaucoma, Open-Angle	1.0	semapv:LexicalMatching	leonmap	cosine=0.783914
icd10:T48.0	Oxytocic drugs	skos:closeMatch	mesh:D010120	Oxytocics	1.0	semapv:LexicalMatching	leonmap	cosine=0.783478
icd10:N30.1	Interstitial cystitis (chronic)	skos:closeMatch	mesh:D018856	Cystitis, Interstitial	1.0	semapv:LexicalMatching	leonmap	cosine=0.782255
icd10:F51.0	Nonorganic insomnia	skos:closeMatch	mesh:D007319	Sleep Initiation and Maintenance Disorders	1.0	semapv:LexicalMatching	leonmap	cosine=0.781874
icd10:M77.0	Medial epicondylitis	skos:closeMatch	mesh:D000070639	Elbow Tendinopathy	1.0	semapv:LexicalMatching	leonmap	cosine=0.780740
icd10:Q66.1	Talipes calcaneovarus	skos:closeMatch	mesh:D000070558	Talipes	1.0	semapv:LexicalMatching	leonmap	cosine=0.780603
icd10:G72.0	Drug-induced myopathy	skos:closeMatch	mesh:D000081030	Myotoxicity	1.0	semapv:LexicalMatching	leonmap	cosine=0.779704
icd10:G11.1	Early-onset cerebellar ataxia	skos:closeMatch	mesh:D013132	Spinocerebellar Degenerations	1.0	semapv:LexicalMatching	leonmap	cosine=0.778616
icd10:T37.5	Antiviral drugs	skos:closeMatch	mesh:D000998	Antiviral Agents	1.0	semapv:LexicalMatching	leonmap	cosine=0.776802
icd10:M15-M19	Arthrosis	skos:closeMatch	mesh:D010003	Osteoarthritis	1.0	semapv:LexicalMatching	leonmap	cosine=0.775938
icd10:Z59.5	Extreme poverty	skos:closeMatch	mesh:D011203	Poverty	1.0	semapv:LexicalMatching	leonmap	cosine=0.774963
icd10:P35.1	Congenital cytomegalovirus infection	skos:closeMatch	mesh:D003586	Cytomegalovirus Infections	1.0	semapv:LexicalMatching	leonmap	cosine=0.774446
icd10:G37.4	Subacute necrotizing myelitis	skos:closeMatch	mesh:D009187	Myelitis	1.0	semapv:LexicalMatching	leonmap	cosine=0.772006
icd10:K05.4	Periodontosis	skos:closeMatch	mesh:D010520	Aggressive Periodontitis	1.0	semapv:LexicalMatching	leonmap	cosine=0.771205
icd10:E76.0	Mucopolysaccharidosis, type I	skos:closeMatch	mesh:D008059	Mucopolysaccharidosis I	1.0	semapv:LexicalMatching	leonmap	cosine=0.765401
icd10:G82.3	Flaccid tetraplegia	skos:closeMatch	mesh:D011782	Quadriplegia	1.0	semapv:LexicalMatching	leonmap	cosine=0.763935
icd10:B71.1	Dipylidiasis	skos:closeMatch	mesh:D002590	Cestode Infections	1.0	semapv:LexicalMatching	leonmap	cosine=0.763735
icd10:H50.5	Heterophoria	skos:closeMatch	mesh:D013285	Strabismus	1.0	semapv:LexicalMatching	leonmap	cosine=0.762645
icd10:F06.1	Organic catatonic disorder	skos:closeMatch	mesh:D002389	Catatonia	1.0	semapv:LexicalMatching	leonmap	cosine=0.762335
icd10:I86.4	Gastric varices	skos:closeMatch	mesh:D004932	Esophageal and Gastric Varices	1.0	semapv:LexicalMatching	leonmap	cosine=0.757425
icd10:R49	Voice disturbances	skos:closeMatch	mesh:D014832	Voice Disorders	1.0	semapv:LexicalMatching	leonmap	cosine=0.754497
icd10:I42.1	Obstructive hypertrophic cardiomyopathy	skos:closeMatch	mesh:D002312	Cardiomyopathy, Hypertrophic	1.0	semapv:LexicalMatching	leonmap	cosine=0.753626
icd10:T44.0	Anticholinesterase agents	skos:closeMatch	mesh:D002800	Cholinesterase Inhibitors	1.0	semapv:LexicalMatching	leonmap	cosine=0.753509
icd10:O43.2	Morbidly adherent placenta	skos:closeMatch	mesh:D010921	Placenta Accreta	1.0	semapv:LexicalMatching	leonmap	cosine=0.751148
icd10:B36.2	White piedra	skos:closeMatch	mesh:D010854	Piedra	1.0	semapv:LexicalMatching	leonmap	cosine=0.749619
icd10:A93.0	Oropouche virus disease	skos:closeMatch	mesh:D002044	Bunyaviridae Infections	1.0	semapv:LexicalMatching	leonmap	cosine=0.749490
